Well,Day,Area (um2),Perimeter (um),Equivalent diameter (um),Equivalent volume (um3),Form factor,Solidity,Eccentricity,Normalized mean intensity,Normalized median intensity,Normalized sum intensity,Normalized upper quartile intensity,Normalized lower quartile intensity,Granularity,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Angular second moment,Organoid_index,Condition
A04,T-1,3188.591998,313.2766038,63.71688492,76187.68101,0.408275098,0.83102981,0.478469679,1.777244208,1.846153846,1540.870728,1.323308271,4.3,20,44.51630399,3.983963824,0.319339206,0.068483169,0.97400305,0.004700892,25_0,EGTA 2.0
A04,T-1,9015.973932,544.5289145,107.1424031,362247.4176,0.382103152,0.881801078,0.80094584,1.053794958,1.087912088,5772.688779,0.872180451,2,3.28831329,30.29347487,4.142044453,0.229416677,0.028750246,0.97934431,0.0008311,29_0,EGTA 2.0
A04,T-1,3325.847548,291.3977987,65.073809,81159.58802,0.4921978,0.91976995,0.326652829,0.754735592,0.736263736,624.92107,0.593984962,1.542857143,20,43.87573786,4.831848128,0.221023417,0.051176094,0.906609797,0.002624686,30_0,EGTA 2.0
A04,T-1,8124.852673,468.8651753,101.7098015,309891.4322,0.464439774,0.918670272,0.769639401,0.917894979,0.901098901,5108.085557,0.729323308,1.914285714,5.3489765,28.97130173,4.016988391,0.238103663,0.030798906,0.968018946,0.000954165,31_0,EGTA 2.0
A04,T-1,5817.243741,391.9094304,86.06244693,187742.3365,0.475943826,0.886889664,0.707240678,0.861079415,0.846153846,2540.184274,0.706766917,1.657142857,20,26.39583798,3.885094864,0.240467105,0.033018208,0.976099625,0.001093241,35_0,EGTA 2.0
A04,T-1,6651.435141,436.6018502,92.02646495,229540.5236,0.438484333,0.909242742,0.651712311,1.150759762,1.164835165,5048.383076,0.939849624,2.371428571,7.043989516,34.53217352,4.313842363,0.230111556,0.029839611,0.975509513,0.00089402,36_0,EGTA 2.0
A04,T-1,4797.705357,340.9838116,78.15771353,140616.6303,0.51853242,0.941728748,0.508704051,1.087991573,1.076923077,2553.516222,0.894736842,2.2,8.247453123,53.26836427,5.411552787,0.192834804,0.030185404,0.965488083,0.000912931,39_0,EGTA 2.0
A04,T-1,6070.698591,406.1978477,87.91731064,200144.8102,0.462352595,0.91236912,0.868898126,0.822790017,0.769230769,2410.77475,0.69924812,1.485714286,20,49.2781886,5.06965451,0.213554259,0.031255589,0.962149097,0.000979854,40_0,EGTA 2.0
A04,T-1,5881.452303,424.6127174,86.53610606,190859.2426,0.409928816,0.866924669,0.668197047,0.838270438,0.78021978,2463.676817,0.669172932,1.685714286,6.803787644,34.92836255,4.402174597,0.22421313,0.034518877,0.959579183,0.001194783,42_0,EGTA 2.0
A04,T-1,5703.384023,414.5905418,85.21604354,182257.433,0.416968933,0.912493761,0.838243658,1.007178275,0.978021978,2588.448168,0.789473684,2.142857143,20,42.76305617,4.954915621,0.196006289,0.032693116,0.945459261,0.001071289,46_0,EGTA 2.0
A04,T-1,8164.365634,458.0882935,101.9568202,312154.7846,0.488915632,0.938895698,0.554355465,1.129656308,1.164835165,7288.542498,0.894736842,2.314285714,0.562853559,20.55273907,3.014577883,0.355971281,0.044756306,0.980854728,0.002013939,48_0,EGTA 2.0
A04,T-1,8697.790612,552.2342228,105.2348372,343241.4671,0.358403447,0.843965191,0.711765325,0.636280429,0.593406593,3751.509407,0.526315789,1.228571429,1.937557839,5.263279152,1.461905496,0.514561726,0.064688283,0.989688387,0.004202092,49_0,EGTA 2.0
A04,T-1,5651.133331,375.2741285,84.82479844,179758.5921,0.504252625,0.937712979,0.582443889,0.966978881,0.945054945,3073.058885,0.714285714,2.142857143,7.408615794,15.72619199,2.921694179,0.304168642,0.045057777,0.96237374,0.00203754,52_0,EGTA 2.0
A04,T-1,11073.76737,595.8893467,118.7415619,493093.6624,0.391898876,0.846461074,0.857952415,0.758354504,0.714285714,5979.625263,0.62406015,1.457142857,6.668331512,52.61342388,5.466125534,0.187674428,0.027120682,0.938681841,0.000738665,56_0,EGTA 2.0
A04,T-1,15134.76396,675.2219935,138.8170738,787861.3668,0.417150104,0.892084457,0.6666314,0.710801545,0.67032967,10536.9221,0.593984962,1.285714286,4.934113955,38.02399983,4.538637963,0.225033181,0.02882947,0.960946278,0.000836428,57_0,EGTA 2.0
A04,T-1,9055.22694,520.4605971,107.3753837,364615.6752,0.420081438,0.89428014,0.810877728,0.75371562,0.703296703,4864.480613,0.631578947,1.428571429,7.094026757,26.87978488,3.844565423,0.253568806,0.033369994,0.967837899,0.00111856,58_0,EGTA 2.0
A04,T-1,9416.562573,553.0065119,109.4967572,386656.1498,0.386938345,0.871691212,0.830804307,0.946305646,0.923076923,6125.436445,0.744360902,2,5.173031371,26.52632916,3.74517193,0.255383756,0.033309647,0.963507135,0.0011157,60_0,EGTA 2.0
A05,T-1,3822.359101,336.5550492,69.76230187,99996.21354,0.424061777,0.867287956,0.628713475,1.365827535,1.388888889,1569.335838,1.121495327,3.071428571,20,48.90908142,4.666872922,0.258001204,0.045532359,0.960617166,0.002083161,10_0,DEX PREV
A05,T-1,6805.847635,429.5363276,93.08852961,237579.8809,0.463545412,0.913790095,0.627023043,1.044222263,0.972222222,4410.794837,0.925233645,1.928571429,8.877388943,23.77974734,3.420448416,0.289638059,0.035593791,0.982646697,0.001276225,11_0,DEX PREV
A05,T-1,12115.40181,546.6832612,124.2006791,564277.9248,0.509420166,0.939485567,0.364573629,1.167617492,1.180555556,13063.3045,0.869158879,2.75,1.481117392,6.653363116,1.861781129,0.42042873,0.058048762,0.97972603,0.003399077,15_0,DEX PREV
A05,T-1,4253.362324,311.4846016,73.59041452,117377.5112,0.550895316,0.94984326,0.423377906,1.011247372,0.930555556,1921.370007,0.794392523,1.964285714,8.604427334,24.62490666,3.695058128,0.256799797,0.041470591,0.979158163,0.001725206,18_0,DEX PREV
A05,T-1,4940.419934,348.8640749,79.31165128,146937.3236,0.510106939,0.913218971,0.606204072,0.871207969,0.777777778,1901.846997,0.757009346,1.571428571,8.466873954,15.1048566,2.730825203,0.344606166,0.055265665,0.985748801,0.003066946,19_0,DEX PREV
A05,T-1,5162.680342,373.5121435,81.07606779,156963.683,0.4650243,0.908051758,0.494952416,1.438239113,1.541666667,3435.953241,1.242990654,2.678571429,10.06563625,31.62184978,3.798318093,0.289191651,0.04618668,0.981939639,0.002145558,20_0,DEX PREV
A05,T-1,6602.563847,492.9459272,91.68776029,227015.3592,0.341447477,0.865442279,0.882658367,1.008425366,1.013888889,2786.279286,0.803738318,2.142857143,20,34.30253839,4.375982898,0.221556322,0.035935497,0.939223223,0.001294894,24_0,DEX PREV
A05,T-1,3920.361643,352.2006553,70.65096938,103866.5064,0.397151014,0.88095099,0.740262987,0.996796162,0.916666667,1118.405294,0.878504673,1.857142857,20,20.18728126,3.389759658,0.267956173,0.049249245,0.982266751,0.002427933,25_0,DEX PREV
A05,T-1,5124.987056,369.8556703,80.77955302,155247.8114,0.470801756,0.924631836,0.567329662,1.564530572,1.611111111,3725.147292,1.186915888,3.714285714,2.934009524,17.44223015,3.140585904,0.274337252,0.042059488,0.975917945,0.001774708,26_0,DEX PREV
A05,T-1,7267.26544,439.4560171,96.19235801,262145.7746,0.472879031,0.92036214,0.544673604,1.169657231,1.111111111,5776.937065,0.953271028,2.357142857,5.488487398,35.97068675,4.420506014,0.224887161,0.02980958,0.970815674,0.000892402,27_0,DEX PREV
A05,T-1,5545.852085,384.2041221,84.03093588,174758.6779,0.472121856,0.90759806,0.6876108,0.872884502,0.847222222,2528.746404,0.691588785,1.785714286,8.896809838,27.11669334,3.715761787,0.278929771,0.040106102,0.956551554,0.00161373,32_0,DEX PREV
A05,T-1,4778.20883,335.2278777,77.99874637,139760.362,0.534311763,0.928661648,0.592097054,1.492269128,1.611111111,3451.618493,1.168224299,3.5,6.130995223,28.55536875,3.681675857,0.274548937,0.041654995,0.97937265,0.00174631,34_0,DEX PREV
A05,T-1,5524.535883,370.8753833,83.86928849,173752.0851,0.504718991,0.948284325,0.473637716,1.826024388,1.930555556,5364.859653,1.373831776,4.392857143,2.224084472,14.6892819,2.57540909,0.377507953,0.071324323,0.977398394,0.005105277,35_0,DEX PREV
A05,T-1,4384.119032,320.0646851,74.71300904,122831.5218,0.537794907,0.942284054,0.526325484,1.353816729,1.375,2760.43231,1.130841121,2.803571429,9.572205536,23.11297343,3.551189798,0.261035179,0.038559966,0.982644705,0.001490655,36_0,DEX PREV
A05,T-1,5937.082393,391.1795929,86.9443965,193573.5171,0.487562796,0.913194722,0.61047299,1.185582359,1.166666667,3875.668732,0.971962617,2.428571429,5.229193952,36.45792497,4.282229693,0.246725777,0.033755352,0.965490699,0.001143927,42_0,DEX PREV
